"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages"
"8600000US01001","ZCTA5 01001","7413","322","200","105","866","216","155","89","59","65","(X)","(X)","2.7","1.4","11.7","3.0","2.1","1.2","0.8","0.9","178","109","44","43","94","83","40","59","0","19","2.4","1.5","22.0","19.2","10.9","9.4","25.8","30.2","0.0","40.1"
"8600000US01002","ZCTA5 01002","9798","451","390","118","962","228","710","189","286","229","(X)","(X)","4.0","1.2","9.8","2.4","7.2","1.9","2.9","2.3","266","110","42","38","48","49","165","98","11","17","2.7","1.1","10.8","9.4","5.0","5.4","23.2","10.8","3.8","7.5"
"8600000US01003","ZCTA5 01003","42","42","0","19","4","7","14","20","0","19","(X)","(X)","0.0","47.5","9.5","22.8","33.3","46.1","0.0","47.5","0","19","0","19","0","19","0","19","0","19","0.0","47.5","-","**","0.0","100.0","0.0","82.3","-","**"
"8600000US01005","ZCTA5 01005","1944","232","19","30","47","47","25","42","0","17","(X)","(X)","1.0","1.5","2.4","2.4","1.3","2.1","0.0","1.8","0","17","0","17","0","17","0","17","0","17","0.0","1.8","0.0","70.6","0.0","44.9","0.0","61.6","-","**"
"8600000US01007","ZCTA5 01007","5563","196","103","66","279","114","181","110","0","19","(X)","(X)","1.9","1.2","5.0","2.0","3.3","2.0","0.0","0.6","103","95","16","25","18","29","69","80","0","19","1.9","1.7","15.5","25.7","6.5","10.0","38.1","34.8","-","**"
"8600000US01008","ZCTA5 01008","490","63","3","4","13","16","0","12","0","12","(X)","(X)","0.6","0.7","2.7","3.2","0.0","6.9","0.0","6.9","0","12","0","12","0","12","0","12","0","12","0.0","6.9","0.0","100.0","0.0","85.4","-","**","-","**"
"8600000US01009","ZCTA5 01009","114","76","0","12","12","20","0","12","0","12","(X)","(X)","0.0","26.0","10.5","19.8","0.0","26.0","0.0","26.0","0","12","0","12","0","12","0","12","0","12","0.0","26.0","-","**","0.0","88.8","-","**","-","**"
"8600000US01010","ZCTA5 01010","1447","89","30","28","53","40","11","18","0","12","(X)","(X)","2.1","1.9","3.7","2.8","0.8","1.2","0.0","2.4","10","15","0","12","10","15","0","12","0","12","0.7","1.1","0.0","56.2","18.9","24.2","0.0","92.8","-","**"
"8600000US01011","ZCTA5 01011","564","52","0","12","32","21","0","12","0","12","(X)","(X)","0.0","6.0","5.7","3.6","0.0","6.0","0.0","6.0","0","12","0","12","0","12","0","12","0","12","0.0","6.0","-","**","0.0","54.4","-","**","-","**"
"8600000US01012","ZCTA5 01012","272","48","7","8","4","5","0","12","0","12","(X)","(X)","2.6","2.9","1.5","1.8","0.0","12.1","0.0","12.1","4","6","4","6","0","12","0","12","0","12","1.5","2.3","57.1","52.7","0.0","100.0","-","**","-","**"
"8600000US01013","ZCTA5 01013","9140","404","1722","206","1024","189","120","97","35","33","(X)","(X)","18.8","2.4","11.2","2.0","1.3","1.0","0.4","0.4","488","122","230","87","228","69","15","23","15","24","5.3","1.3","13.4","4.9","22.3","6.6","12.5","21.6","42.9","50.3"
"8600000US01020","ZCTA5 01020","12798","409","1171","271","840","210","330","156","62","42","(X)","(X)","9.1","2.0","6.6","1.6","2.6","1.2","0.5","0.3","395","148","242","110","56","43","97","91","0","26","3.1","1.1","20.7","9.2","6.7","5.3","29.4","23.1","0.0","39.1"
"8600000US01022","ZCTA5 01022","1154","130","11","21","39","36","42","47","0","12","(X)","(X)","1.0","1.8","3.4","3.2","3.6","4.1","0.0","3.0","11","16","0","12","11","16","0","12","0","12","1.0","1.5","0.0","92.8","28.2","43.6","0.0","47.5","-","**"
"8600000US01026","ZCTA5 01026","448","46","3","5","15","10","0","12","0","12","(X)","(X)","0.7","1.1","3.3","2.4","0.0","7.5","0.0","7.5","0","12","0","12","0","12","0","12","0","12","0.0","7.5","0.0","100.0","0.0","79.5","-","**","-","**"
"8600000US01027","ZCTA5 01027","7928","269","269","140","373","127","93","77","38","43","(X)","(X)","3.4","1.8","4.7","1.6","1.2","1.0","0.5","0.5","56","56","0","19","22","28","34","49","0","19","0.7","0.7","0.0","12.2","5.9","7.5","36.6","42.7","0.0","49.9"
"8600000US01028","ZCTA5 01028","5958","219","106","75","429","113","97","64","9","14","(X)","(X)","1.8","1.3","7.2","1.9","1.6","1.1","0.2","0.2","66","51","0","19","42","41","24","28","0","19","1.1","0.9","0.0","27.5","9.8","9.2","24.7","31.0","0.0","100.0"
"8600000US01029","ZCTA5 01029","238","65","0","12","0","12","0","12","0","12","(X)","(X)","0.0","13.6","0.0","13.6","0.0","13.6","0.0","13.6","0","12","0","12","0","12","0","12","0","12","0.0","13.6","-","**","-","**","-","**","-","**"
