"GEO_ID","id"
"NAME","Geographic Area Name"
"S2902_C01_001E","Estimate!!Total!!Citizens 18 years and over"
"S2902_C01_001M","Margin of Error!!Total!!Citizens 18 years and over"
"S2902_C01_002E","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years"
"S2902_C01_002M","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years"
"S2902_C01_003E","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years"
"S2902_C01_003M","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years"
"S2902_C01_004E","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years"
"S2902_C01_004M","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years"
"S2902_C01_005E","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over"
"S2902_C01_005M","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over"
"S2902_C01_006E","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male"
"S2902_C01_006M","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male"
"S2902_C01_007E","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female"
"S2902_C01_007M","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female"
"S2902_C01_008E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2902_C01_008M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2902_C01_009E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2902_C01_009M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2902_C01_010E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2902_C01_010M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2902_C01_011E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2902_C01_011M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2902_C01_012E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2902_C01_012M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2902_C01_013E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2902_C01_013M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2902_C01_014E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2902_C01_014M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2902_C01_015E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher"
"S2902_C01_015M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher"
"S2902_C01_016E","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S2902_C01_016M","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S2902_C01_017E","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2902_C01_017M","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2902_C01_018E","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2902_C01_018M","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2902_C01_019E","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2902_C01_019M","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2902_C01_020E","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"S2902_C01_020M","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"S2902_C02_001E","Estimate!!Percent!!Citizens 18 years and over"
"S2902_C02_001M","Margin of Error!!Percent!!Citizens 18 years and over"
"S2902_C02_002E","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years"
"S2902_C02_002M","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years"
"S2902_C02_003E","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years"
"S2902_C02_003M","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years"
"S2902_C02_004E","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years"
"S2902_C02_004M","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years"
"S2902_C02_005E","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over"
"S2902_C02_005M","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over"
"S2902_C02_006E","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male"
"S2902_C02_006M","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male"
"S2902_C02_007E","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female"
"S2902_C02_007M","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female"
"S2902_C02_008E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2902_C02_008M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2902_C02_009E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2902_C02_009M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2902_C02_010E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2902_C02_010M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2902_C02_011E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2902_C02_011M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2902_C02_012E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2902_C02_012M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2902_C02_013E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2902_C02_013M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2902_C02_014E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2902_C02_014M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2902_C02_015E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher"
"S2902_C02_015M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher"
"S2902_C02_016E","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S2902_C02_016M","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S2902_C02_017E","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2902_C02_017M","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2902_C02_018E","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2902_C02_018M","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2902_C02_019E","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2902_C02_019M","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2902_C02_020E","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"S2902_C02_020M","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
